,a,psi_l,psi_w,psi_w_osm,psi_w_turgor,gp,gsv,tl,ev,ev_cum,vw,cw,qgw,qs,psi_b,psi_x,qw,qbx,gs,gwf,ggwr,gsr,Energy balance,Water balance,hr_cum,w,Uptake,MW,delta psi w,s,cs,gw_z,psi_s,psi_gw,psi_gw_osm,psi_gw_mat,psi_s_mat,psi_s_osm
22,8.817754643989552,-1.4134723612132514,-1.6606898963913272,-0.7476159674319975,0.0,0.08037212692401167,0.06724123380059802,304.08750808001804,0.3446188636424227,7.914437099537134,0.030659484189050193,153.45142726319554,0.20300654464754533,0.15908090315042667,-0.8900838000118849,-1.1582467203992732,-0.01746858415554997,0.3620874477979721,2.3615893109473176,0.004138962277166025,1.6421581357659278,2.3615893109473176,-5.900346877751872e-11,6.106226635438361e-16,0.06020495828534725,0.9538506192148948,0.00992819261356,4.704741607963129,-0.019765551429291563,0.4855754439369012,154.7930631062634,3.2743796718913614,-0.8227220015768244,-0.766462,-0.766462,-0.00143,-0.07104219675405021,-0.7541524226259676
23,8.20601217633639,-1.3960647538553883,-1.657948527802874,-0.749070193146971,0.0,0.08040451634601595,0.05992889883200441,304.8407729931482,0.3335094209370504,8.514754057223824,0.030663227457083525,153.74991341283194,0.2014997213068099,0.14970731589031286,-0.8891662127784041,-1.1491662940621326,-0.01769761626067151,0.3512070371971227,2.3402155228181205,0.004140983978863714,1.6421581357659278,2.3402155228181205,4.786215868080035e-11,5.99187366390197e-13,0.06020495828534725,0.9539670764425985,0.00972695852143423,4.714468566484563,-0.021308630778445505,0.4845178362321928,155.11308213233553,3.2962928572975834,-0.8251946193800178,-0.766462,-0.766462,-0.00143,-0.07183744072566708,-0.7557115566010673
24,7.552674568375479,-1.3723391168862948,-1.6551048994343056,-0.7504766553344541,0.0,0.0804536734462624,0.05282969523497113,305.59660389577215,0.3188025440770532,9.08859863656252,0.030667019803425098,154.0385958908191,0.19835630082002598,0.13849541928522416,-0.8872520119360365,-1.1364724237138157,-0.018049176028195797,0.33685172010524994,2.3197391319607763,0.004143032942438309,1.6421581357659278,2.3197391319607763,-8.003553375601768e-11,-9.26342336171615e-16,0.06020495828534725,0.954085060551003,0.009436104190982333,4.723904670675545,-0.02280508944802185,0.4835182111590907,155.41211356236343,3.3180436290531614,-0.8275489973267344,-0.766462,-0.766462,-0.00143,-0.07258706888893715,-0.7571684389242888
25,7.291901958369958,-1.3703695115641021,-1.6521141769678918,-0.7518199194372687,0.0,0.08051959434530376,0.05221623070487467,305.66299670229625,0.3170279595836839,9.65924896381315,0.030670887484002568,154.31430668720068,0.20017832592508464,0.13481996126631332,-0.8883615427816812,-1.1360077759714562,-0.017970327607713207,0.33499828719139746,2.3004450196789494,0.004145123391366591,1.6421581357659278,2.3004450196789494,8.753886504564434e-12,-3.469446951953614e-16,0.06020495828534725,0.9542053883911908,0.00905206689945138,4.732956737574997,-0.024240114872826655,0.4825878644903967,155.70490368030812,3.3394552046847306,-0.8297555078132259,-0.766462,-0.766462,-0.00143,-0.0733272118537513,-0.7585949135500759
26,7.229523401671047,-1.3686012421369667,-1.6491352057318904,-0.753155468796109,0.0,0.08052501152826873,0.05159669204950141,305.7294403046303,0.3151821610100999,10.22657685363133,0.030674738268489935,154.588433998845,0.20190754805326425,0.13116370997098867,-0.8894145608135732,-1.1356196807412038,-0.017889097014169946,0.33307125802425286,2.2814081371956285,0.0041472054939070595,1.6421581357659278,2.2814081371956285,8.378719940083101e-11,1.6969065042005127e-14,0.06020495828534725,0.9543251905752423,0.009003014675304729,4.741959752250302,-0.025667001702918333,0.48168039815874597,155.99141591234468,3.3610638382255087,-0.8319221254038272,-0.766462,-0.766462,-0.00143,-0.07405742397927051,-0.759990802290607
27,7.165798969933259,-1.366767857460799,-1.6461682578633796,-0.7544830108430521,0.0,0.08052986778491736,0.05097981756547227,305.79589733742694,0.31331753336301976,10.790548413684766,0.030678571646421543,154.86091777491404,0.20356688236212678,0.1275606559470574,-0.8904250203257983,-1.1351785889153563,-0.017810004946193964,0.331127538309184,2.2626447296830774,0.004149278963772227,1.6421581357659278,2.2626447296830774,2.5011104298755527e-12,2.9715813143482706e-14,0.06020495828534725,0.9544444512220035,0.008952008937994298,4.750911761188296,-0.027085445577606372,0.48079568713027326,156.27168358454963,3.3828594935575387,-0.8340482262698775,-0.766462,-0.766462,-0.00143,-0.07477744058171377,-0.7613562675106601
28,7.101943156321155,-1.3648661276509426,-1.6432127347179588,-0.7558024675236783,0.0,0.08053489571226437,0.050365717202407866,305.86236734722536,0.31143471237979864,11.351130895968403,0.03068238807605287,155.13174199439868,0.20515659786061166,0.12401120506950991,-0.8913930851326285,-1.1346829215407683,-0.017733090550320817,0.32916780293012116,2.244165817851545,0.004151344038576478,1.6421581357659278,2.244165817851545,7.844391802791506e-12,-1.700029006457271e-15,0.06020495828534725,0.9545631845883114,0.008900549597952796,4.7598123107862484,-0.028495379623128318,0.4799333972710532,156.5457435841432,3.4048346101141624,-0.8361337080923739,-0.766462,-0.766462,-0.00143,-0.07548701282251805,-0.7626914889249201
29,7.0379733593030815,-1.3628960677938902,-1.640268030920935,-0.7571137631582753,0.0,0.08054010338221607,0.0497543967503824,305.92885032773194,0.30953370688386084,11.908291568359353,0.03068618802402794,155.4008911237091,0.2066767576630852,0.12051528621791417,-0.892318793667857,-1.134132698540233,-0.017658336997137626,0.32719204388099904,2.2259814630305317,0.00415340096088719,1.6421581357659278,2.2259814630305317,6.104983185650781e-11,-5.759281940243e-16,0.06020495828534725,0.9546814051919802,0.008848653337383763,4.768660964123632,-0.029896739526827577,0.4790931920783114,156.81363537574705,3.4269816570531177,-0.8381785017474381,-0.766462,-0.766462,-0.00143,-0.07618590559524634,-0.7639966588051812
30,6.973892501255397,-1.3608577722217878,-1.6373335452409685,-0.7584168218846082,0.0,0.0805454899208509,0.04914586039214504,305.99534627839694,0.30761451764596154,12.461997700122083,0.03068997195338447,155.66834959179184,0.2081274892389096,0.11707275384611558,-0.8932022235545578,-1.1335279990326284,-0.017585725439102824,0.32520024308502543,2.208100838705513,0.004155449971732903,1.6421581357659278,2.208100838705513,4.297362465877086e-11,3.8930664247871505e-14,0.06020495828534725,0.9547991274386278,0.008796318878108408,4.77745728300174,-0.03128946069561785,0.4782747356139641,157.07540081094345,3.449293110979127,-0.8401825644004275,-0.766462,-0.766462,-0.00143,-0.07687389736665277,-0.7652719810525196
31,7.2264530334460195,-1.3801041937028071,-1.6344086810417695,-0.7597115676375938,0.0,0.08055105421047538,0.05341308938192037,305.48745319956726,0.31820011299661427,13.034757903515988,0.03069374032312142,155.93410178595786,0.21469355055021055,0.12059926996782842,-0.8972006577907579,-1.1449678183677965,-0.01709270752142898,0.3352928205180388,2.190532254318164,0.004157491310361694,1.6421581357659278,2.190532254318164,9.265477274311706e-11,4.423544863740858e-15,0.06020495828534725,0.9549163656082218,0.008743544735634276,4.786200827737375,-0.03267347822564882,0.47747769296014897,157.3451314899807,3.4717614628560685,-0.8421458784191723,-0.766462,-0.766462,-0.00143,-0.07758810895967932,-0.7665861099997119
